127.0.0.1 - - [04/Oct/2025:16:16:15 +0900] "GET / HTTP/1.1" 404 896
0:0:0:0:0:0:0:1 - - [04/Oct/2025:16:16:51 +0900] "GET /extenders-demo/ HTTP/1.1" 404 915
0:0:0:0:0:0:0:1 - - [04/Oct/2025:16:18:09 +0900] "GET /extenders-demo/ HTTP/1.1" 404 915
0:0:0:0:0:0:0:1 - - [04/Oct/2025:16:20:51 +0900] "GET /extenders-demo/ HTTP/1.1" 200 387
0:0:0:0:0:0:0:1 - - [04/Oct/2025:16:21:08 +0900] "GET /extenders-demo/ HTTP/1.1" 200 387
0:0:0:0:0:0:0:1 - - [04/Oct/2025:16:22:27 +0900] "GET /extenders-demo/ HTTP/1.1" 200 326
0:0:0:0:0:0:0:1 - - [04/Oct/2025:16:22:32 +0900] "POST /extenders-demo/hello HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [04/Oct/2025:16:22:33 +0900] "GET /extenders-demo/input.jsp HTTP/1.1" 404 891
0:0:0:0:0:0:0:1 - - [04/Oct/2025:16:22:54 +0900] "GET /extenders-demo/ HTTP/1.1" 200 326
0:0:0:0:0:0:0:1 - - [04/Oct/2025:16:22:57 +0900] "POST /extenders-demo/hello HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [04/Oct/2025:16:22:59 +0900] "GET /extenders-demo/index.jsp HTTP/1.1" 200 326
0:0:0:0:0:0:0:1 - - [04/Oct/2025:16:24:50 +0900] "GET /extenders-demo/ HTTP/1.1" 200 326
0:0:0:0:0:0:0:1 - - [04/Oct/2025:16:27:18 +0900] "GET /extenders-demo/ HTTP/1.1" 200 326
0:0:0:0:0:0:0:1 - - [04/Oct/2025:16:27:23 +0900] "POST /extenders-demo/hello HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [04/Oct/2025:16:27:23 +0900] "GET /extenders-demo/index.jsp HTTP/1.1" 200 326
